Title1,Title2,Similarity Score,Rank,Game Genre,Year,NA Sales,EU Sales,JP Sales,Other Sales,Global Sales,ESRB rating
Pinball FX3,Pinball,0.7071067811865475,940,Action,1984.0,0.8,0.19,0.83,0.03,1.85,ET
Secret of Mana,Secret of Mana,1.0000000000000002,950,Role-Playing,1993.0,0.25,0.07,1.49,0.02,1.83,ET
The Evil Within 2,The Evil Within,0.8660254037844387,959,Action,2014.0,0.55,0.84,0.11,0.31,1.81,M
DEAD OR ALIVE 6,Dead or Alive 3,0.75,987,Fighting,2001.0,1.19,0.29,0.24,0.06,1.77,M
Pro Evolution Soccer 2019,Pro Evolution Soccer,0.8660254037844387,1008,Sports,2001.0,0.06,0.9,0.53,0.27,1.75,E
STAR WARS™ Episode I Racer,Star Wars Episode I: The Phantom Menace,0.6761234037828131,1016,Adventure,1999.0,0.72,0.89,0.04,0.1,1.74,E
The Elder Scrolls Online: Elsweyr,The Elder Scrolls Online,0.8944271909999159,1036,Role-Playing,2015.0,0.66,0.78,0.0,0.28,1.72,M
The Crew 2,The Crew,0.8164965809277259,1051,Racing,2014.0,0.34,1.08,0.03,0.26,1.7,T
Puyo Puyo Tetris 2,Super Puyo Puyo,0.7302967433402214,1056,Puzzle,1993.0,0.0,0.0,1.69,0.01,1.7,ET
Sid Meier's Civilization VI,Sid Meier's Civilization V,0.7999999999999998,1071,Strategy,2010.0,0.98,0.52,0.0,0.19,1.69,ET
Call of Duty®: Black Ops Cold War,Call of Duty Black Ops: Declassified,0.7715167498104595,1073,Action,2012.0,0.8,0.52,0.07,0.3,1.69,M
Star Wars™ Battlefront™ II,Star Wars Battlefront: Renegade Squadron,0.6708203932499369,1074,Shooter,2007.0,0.9,0.47,0.0,0.32,1.68,T
LEGO Marvel Super Heroes 2,LEGO Batman 2: DC Super Heroes,0.7302967433402214,1077,Action,2012.0,0.9,0.64,0.0,0.15,1.68,ET
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,SpongeBob SquarePants: Battle for Bikini Bottom,0.9258200997725514,1098,Platform,2003.0,1.08,0.45,0.0,0.14,1.67,ET
Street Fighter V: Champion Edition,Street Fighter II': Special Champion Edition,0.7302967433402214,1101,Fighting,1992.0,1.0,0.3,0.31,0.04,1.66,T
Need for Speed™ Payback,Need for Speed Carbon,0.75,1105,Racing,2006.0,0.76,0.7,0.02,0.18,1.66,T
DRAGON BALL Z: KAKAROT,Dragon Ball Z: Budokai Tenkaichi,0.6708203932499369,1107,Fighting,2005.0,0.96,0.12,0.54,0.04,1.66,T
Tom Clancy's Rainbow Six Siege: Advanced Edition,Tom Clancy's Rainbow Six,0.7905694150420948,1118,Shooter,1999.0,0.93,0.63,0.0,0.08,1.64,M
RAGE 2,Rage,0.7071067811865475,1137,Shooter,2011.0,0.82,0.61,0.03,0.15,1.62,M
No Man's Sky: Beyond,No Man's Sky,0.8944271909999159,1158,Action,2016.0,0.58,0.74,0.02,0.26,1.6,T
Devil May Cry 5,Devil May Cry 4,0.75,1164,Action,2008.0,0.58,0.46,0.34,0.21,1.59,M
Wolfenstein II: The New Colossus,Wolfenstein: The New Order,0.6708203932499369,1170,Shooter,2014.0,0.47,0.8,0.03,0.29,1.58,M
Carnival Games,Carnival Games: Mini Golf,0.7071067811865475,1171,Sports,2008.0,0.87,0.56,0.0,0.15,1.58,ET
Pro Evolution Soccer 2019,Pro Evolution Soccer 2013,0.75,1186,Sports,2012.0,0.18,0.64,0.49,0.25,1.56,E
Dragon Quest Builders 2,Dragon Quest Monsters 2,0.75,1193,Role-Playing,2001.0,0.0,0.0,1.56,0.0,1.56,ET
Mafia II: Definitive Edition,Mafia II,0.7071067811865475,1196,Action,2010.0,0.84,0.56,0.0,0.15,1.55,M
Tom Clancy's Rainbow Six Siege: Advanced Edition,Tom Clancy's Rainbow Six 3,0.7216878364870323,1199,Shooter,2003.0,0.91,0.57,0.0,0.07,1.55,M
Ni No Kuni: Wrath of the White Witch Remastered,Ni no Kuni: Wrath of the White Witch,0.9428090415820632,1206,Role-Playing,2011.0,0.6,0.51,0.21,0.23,1.55,ET
